symbol,date,adjclose,close,high,low,open,volume
HIG,2000-12-15 05:30:00.0,51.337653,71.1875,72.4375,70.3125,71.1875,1035100.0
CSX,2008-10-10 05:30:00.0,12.093219,43.310011,46.530001,40.35999,42.53001,2.85483E7
CSX,2004-04-22 05:30:00.0,4.112655,31.009981,31.090021,30.030001,30.04002,8842800.0
PPL,2003-10-15 05:30:00.0,11.765367,40.34,40.740002,40.009998,40.720001,1805400.0
ETFC,2016-03-10 05:30:00.0,24.370001,24.370001,24.940001,23.870001,24.77,3765600.0
ETFC,2013-10-16 05:30:00.0,17.35,17.35,17.51,16.92,17.08,3878100.0
ETFC,2009-01-14 05:30:00.0,12.3,1.23,1.26,1.23,1.25,844300.0
ETFC,2007-10-25 05:30:00.0,101.6,10.16,10.63,10.0,10.49,1683200.0
ETFC,2006-04-21 05:30:00.0,275.700016,27.570002,27.760001,27.2,27.2,594500.0
ETFC,2004-12-30 05:30:00.0,149.800005,14.980001,15.02,14.930001,14.930001,243900.0
ETFC,2004-11-24 05:30:00.0,143.899996,14.39,14.44,14.07,14.09,309500.0
ETFC,2001-05-07 05:30:00.0,93.400003,9.34,9.59,9.2,9.45,205200.0
NKE,2000-07-31 05:30:00.0,4.568581,43.75,44.437519,42.875,43.937519,5032800.0
KSU,2016-02-04 05:30:00.0,75.112604,75.68,76.330002,71.32,71.32,2661900.0
KSU,2013-01-18 05:30:00.0,84.187452,87.629997,87.93,86.559998,87.790001,974500.0
KSU,2012-12-17 05:30:00.0,79.249378,82.489998,82.519997,80.449997,81.480003,1503800.0
KSU,2010-06-15 05:30:00.0,38.423482,40.43,40.490002,39.27,39.400002,898300.0
KSU,2010-06-09 05:30:00.0,35.049667,36.880001,38.34,36.630001,36.900002,1432400.0
KSU,2005-10-07 05:30:00.0,21.383337,22.5,22.549999,22.059999,22.200001,447800.0
KSU,2003-12-26 05:30:00.0,13.837396,14.56,14.7,14.38,14.4,60800.0
KSU,2003-07-22 05:30:00.0,11.537499,12.14,12.5,11.88,12.2,2308500.0
FISV,2013-01-17 05:30:00.0,40.540001,81.080002,81.389999,80.75,81.010002,1530800.0
FISV,2011-12-14 05:30:00.0,28.610001,57.220001,57.75,57.099998,57.369999,1810600.0
FISV,2008-03-04 05:30:00.0,26.629999,53.259998,53.400002,52.02,52.240002,3429800.0
FISV,2008-01-22 05:30:00.0,24.055,48.110001,49.07,47.0,47.509998,4410400.0
FISV,2002-05-22 05:30:00.0,21.309999,42.619999,42.740002,41.189999,42.549999,3668600.0
MCD,2012-05-14 05:30:00.0,79.053871,90.879997,91.690002,90.660004,91.540001,6050000.0
MCD,2004-12-08 05:30:00.0,22.382376,31.5,31.75,31.209999,31.219999,5384600.0
MCD,2002-11-25 05:30:00.0,12.522393,18.23,18.68,18.030001,18.48,6269200.0
MCD,2002-10-25 05:30:00.0,12.533117,18.5,18.74,18.280001,18.43,5127400.0
MCD,2002-04-04 05:30:00.0,18.826775,27.790001,27.83,27.5,27.700001,3526100.0
MCD,2001-11-07 05:30:00.0,18.151215,27.02,27.26,26.76,27.08,3400400.0
MCD,2000-10-20 05:30:00.0,18.854084,28.25,28.625,28.125,28.5,5199500.0
MCD,2000-10-13 05:30:00.0,19.271209,28.875,29.1875,28.0,28.3125,2707100.0
PNR,2014-07-11 05:30:00.0,67.462977,70.839996,71.0,70.010002,70.68,1253400.0
PNR,2013-10-09 05:30:00.0,60.127898,63.799999,64.32,63.34,63.98,667900.0
PNR,2007-06-12 05:30:00.0,29.971508,36.389999,36.810001,36.240002,36.599998,687100.0
PNR,2006-05-15 05:30:00.0,28.773005,35.610001,36.18,34.959999,36.009998,711000.0
PNR,2004-01-14 05:30:00.0,18.626498,47.77,47.98,47.490002,47.5,267200.0
PNR,2002-08-30 05:30:00.0,16.47594,43.439999,44.0,43.290001,43.34,270200.0
PNR,2002-07-17 05:30:00.0,15.895414,42.119999,42.32,40.799999,40.799999,460400.0
PNR,2002-06-19 05:30:00.0,18.20123,48.23,49.209999,47.41,47.639999,504600.0
PNR,2001-10-25 05:30:00.0,12.546652,33.560001,33.849998,33.0,33.200001,301000.0
PLD,2008-08-01 05:30:00.0,36.59127,49.369999,49.669998,47.880001,48.869999,1249000.0
PLD,2005-12-12 05:30:00.0,33.520909,49.82,50.200001,49.599998,49.799999,505500.0
PLD,2002-06-27 05:30:00.0,17.434174,30.889999,31.1,30.450001,30.450001,292400.0
